poem_name,poet_name,poem_text,rank
Beklenen,Necip Fazıl Kısakürek,"Ne hasta bekler sabahı,
Ne taze ölüyü mezar.
Ne de şeytan, bir günahı,
Seni beklediğim kadar.
Geçti istemem gelmeni,
Yokluğunda buldum seni; 
Bırak vehmimde gölgeni
Gelme, artık neye yarar?",1
Ben Sana Mecburum,Attila İlhan,"Ben sana mecburum bilemezsin 
Adını mıh gibi aklımda tutuyorum 
Büyüdükçe büyüyor gözlerin 
Ben sana mecburum bilemezsin 
İçimi seninle ısıtıyorum. 
Ağaçlar sonbahara hazırlanıyor 
Bu şehir o eski İstanbul mudur 
Karanlıkta bulutlar parçalanıyor 
Sokak lambaları birden yanıyor 
Kaldırımlarda yağmur kokusu 
Ben sana mecburum sen yoksun. 
Sevmek kimi zaman rezilce korkuludur 
İnsan bir akşam üstü ansızın ....................",2
Anlatamıyorum,Orhan Veli Kanık,"Ağlasam sesimi duyar mısınız, 
Mısralarımda; 
Dokunabilir misiniz, 
Göz yaşlarıma, ellerinizle? 
Bilmezdim şarkıların bu kadar güzel, 
Kelimelerinse kifayetsiz olduğunu
Bu derde düşmeden önce.
Bir yer var, biliyorum; 
Her şeyi söylemek mümkün; 
Epeyce yaklaşmışım, duyuyorum; 
Anlatamıyorum.",3
Bence Şimdi Sen De Herkes Gibisin,Nazım Hikmet Ran,"Gözlerim gözünde aşkı seçmiyor 
Onlardan kalbime sevda geçmiyor 
Ben yordum ruhumu biraz da sen yor 
Çünkü bence şimdi h....................",4
Kaldırımlar,Necip Fazıl Kısakürek,"I
Sokaktayım, kimsesiz bir sokak ortasında; 
Yürüyorum, arkama bakmadan yürüyorum.
Yolumun karanlığa saplanan noktasında,
Sanki beni bekleyen bir hayal görüyorum.
Kara gökler kül rengi bulutlarla kapanık; 
Evlerin bacasını kolluyor yıldırımlar.
İn cin uykuda, yalnız iki yoldaş uyanık; 
Biri benim, biri de serseri kaldırımlar.
İçimde damla damla bir korku birikiyor; 
Sanıyorum, her sokak başını kesmiş devler...
Üstüme camlarını, hep simsiyah, dikiyor; 
Gözüne mil çekilmiş bir âmâ gibi evler.
Kaldırımlar, çilekeş yalnızların annesi; 
Kaldırımlar, içimde yaşamış bir insandır.
Kaldırımlar, duyulur, ses kesilince sesi; 
Kaldırımlar, içimde kıvrılan bir lisandır.
Bana düşmez can vermek, yumuşak bir kucakta; 
Ben bu kaldırımların emzirdiği çocuğum! 
Aman, sabah olmasın, bu karanlık sokakta; 
Bu karanlık sokakta bitmesin yolculuğum! 
Ben gideyim, yol gitsin, ben gideyim, yol gitsin; 
İki yanımdan aksın, bir sel gibi fenerler.
Tak, tak, ayak sesimi aç köpekler işitsin; 
Yolumun zafer tâkı, gölgeden taş kemerler.
Ne sabahı göreyim, ne sabah görüneyim; 
Gündüzler size kalsın, verin karanlıkları! 
Islak bir yorgan gibi, sımsıkı bürüneyim; 
Örtün, üstüme örtün, serin karanlıkları.
Uzanıverse gövdem, taşlara boydan boya; 
Alsa buz gibi taşlar alnımdan bu ateşi.
Dalıp, sokaklar kadar esrarlı bir uykuya,
Ölse, kaldırımların kara sevdalı eşi...
II
Başını bir gayeye satmış bir kahraman gibi,
Etinle, kemiğinle, sokakların malısın! 
Kurulup şiltesine bir tahtaravan gibi,
Sonsuz mesafelerin üstünden aşmalısın! 
Fahişe yataklardan kaçtığın günden beri,
Erimiş ruhlarınız bir derdin potasında.
Senin gölgeni içmiş, onun gözbebekleri; 
Onun taşı erimiş, senin kafatasında.
İkinizin de ne eş, ne arkadaşınız var; 
Sükût gibi münzevî, çığlık gibi hürsünüz.
Dünyada taşınacak bir kuru başınız var; 
Onu da, hangi diyar olsa götürürsünüz.
Yağız atlı süvari, koştur, atını, koştur! 
Sonunda kabre çıkar bu yolun kıvrımları.
Ne kaldırımlar kadar seni anlayan olur...
Ne senin anladığın kadar, kaldırımları...
III
Bir esmer kadındır ki, kaldırımlarda gece,
Vecd içinde başı dik, hayalini sürükler.
Simsiyah gözlerine, bir ân, gözüm değince,
Yolumu bekleyen genç, haydi düş peşime der.
Ondan bir temas gibi rüzgâr beni bürür de,
Tutmak, tutmak isterim, onu göğsüme alıp.
Bir türlü yetişemem, fecre kadar yürür de,
Heyhat, o bir ince ruh, bense etten bir kalıp.
Arkamdan bir kahkaha duysam yaralanırım; 
Onu bir başkasına râm oluyor sanırım,
Görsem pencerelerde soyunan bir karaltı.
Varsın, bugün bir acı duymasın gözyaşımdan; 
Bana rahat bir döşek serince yerin altı,
Bilirim, kalkmayacak, bir yâr gibi başımdan...",5
Sakarya Türküsü,Necip Fazıl Kısakürek,"İnsan bu, su misali, kıvrım kıvrım akar ya; 
Bir yanda akan benim, öbür yanda Sakarya.
Su iner yokuşlardan, hep basamak basamak; 
Benimse alın yazım, yokuşlarda susamak.
Her şey akar, su, tarih, yıldız, insan ve fikir; 
Oluklar çift; birinden nur akar; birinden kir.
Akışta demetlenmiş, büyük, küçük, kâinat; 
Şu çıkan buluta bak, bu inen suya inat! 
Fakat Sakarya başka, yokuş mu çıkıyor ne,
Kurşundan bir yük binmiş, köpükten gövdesine; 
Çatlıyor, yırtınıyor yokuşu sökmek için.
Hey Sakarya, kim demiş suya vurulmaz perçin? 
Rabbim isterse, sular büklüm büklüm burulur,
Sırtına Sakaryanın, Türk tarihi vurulur.
Eyvah, eyvah, Sakaryam, sana mı düştü bu yük? 
Bu dâva hor, bu dâva öksüz, bu dâva büyük! ..
Ne ağır imtihandır, başındaki, Sakarya!  
Binbir başlı kartalı nasıl taşır kanarya? 
İnsandır sanıyordum mukaddes yüke hamal.
Hamallık ki, sonunda, ne rütbe var, ne de mal,
Yalnız acı bir lokma, zehirle pişmiş aştan; 
Ve ayrılık, anneden, vatandan, arkadaştan.
Şimdi dövün Sakarya, dövünmek vakti bu ân; 
Kehkeşanlara kaçmış eski güneşleri an! 
Hani Yunus Emre ki, kıyında geziyordu; 
Hani ardına çil çil kubbeler serpen ordu? 
Nerede kardeşlerin, cömert Nil, yeşil Tuna; 
Giden şanlı akıncı, ne gün döner yurduna? 
Mermerlerin nabzında hâlâ çarpar mı tekbir? 
Bulur mu deli rüzgâr o sedayı: Allah bir! 
Bütün bunlar sendedir, bu girift bilmeceler; 
Sakarya, kandillere katran döktü geceler.
Vicdan azabına eş, kayna kayna Sakarya,        
Öz yurdunda garipsin, öz vatanında parya!       
İnsan üç beş damla kan, ırmak üç beş damla su; 
Bir hayata çattık ki, hayata kurmuş pusu.
Geldi ölümlü yalan, gitti ölümsüz gerçek; 
Siz, hayat süren leşler, sizi kim diriltecek? 
Kafdağını assalar, belki çeker de bir kıl! 
Bu ifritten sualin, kılını çekmez akıl! 
Sakarya, sâf çocuğu, mâsum Anadolunun,
Divanesi ikimiz kaldık Allah yolunun! 
Sen ve ben, gözyaşiyle ıslanmış hamurdanız; 
Rengimize baksınlar, kandan ve çamurdanız! 
Akrebin kıskacında yoğurmuş bizi kader; 
Aldırma, böyle gelmiş, bu dünya böyle gider! 
Bana kefendir yatak, sana tabuttur havuz; 
Sen kıvrıl, ben gideyim, Son Peygamber Kılavuz! 
Yol onun, varlık onun, gerisi hep angarya; 
Yüzüstü çok süründün, ayağa kalk, Sakarya! ..   
                                                     (1949)",6
Ben Senden Önce Ölmek İsterim,Nazım Hikmet Ran,"Ben 
senden önce ölmek isterim. 
Gidenin arkasından gelen 
gideni bulacak mı zannediyorsun? 
Ben zannetmiyorum bunu. 
İyisi mi, beni yaktırırsın, 
odanda ocağın üstüne korsun 
                    içinde bir kavanozun. 
Kavanoz camdan olsun, 
şeffaf, beyaz camdan olsun 
                    ki içinde beni görebilesin... 
Fedakârlığımı anlıyorsun: 
vazgeçtim toprak olmaktan, 
vazgeçtim çiçek olmaktan 
                        senin yanında kalabilme....................",7
Hasretinden Prangalar Eskittim,Ahmed Arif,"Seni, anlatabilmek seni.
İyi çocuklara, kahramanlara,
Seni, anlatabilmek seni,
Namussuza, haldan bilmez,
Kahpe yalana.
Ard-arda kaç zemheri,
Kurt uyur, kuş uyur, zindan uyurdu.
Dışarda gürül-gürül akan bir dünya.....................",8
Ayrılık Sevdaya Dahil,Attila İlhan,"görinen yıldız değil yir yir delinmişdür felek
gün yüzünün hasretiyle tir-i ahımdan benüm
necati
-1.
açılmış sarmaşık gülleri 
                     kokularıyla baygın
en görkemli saatinde yıldız alacasının
gizli bir yılan gibi yuvalanmış
                     içimde keder
uzak bir telefonda ağlayan
                     yağmurlu genç kadın
-2.
rüzgâr 
uzak karanlıklara sürmüş yıldızları
mor kıvılcımlar geçiyor 
                               dağınık yalnızlığımdan
onu çok arıyorum onu çok arıyorum
heryerinde vücudumun
                               ağır yanık sızıları
bir yerlere yıldırım düşüyorum
                    ayrılığımızı hissettiğim an 
                               demirler eriyor hırsımdan
-3.
ay ışığına batmış 
               karabiber ağaçları 
                       gümüş tozu
gecenin ırmağında yüzüyor zambaklar 
yaseminler unutulmuş
                                 tedirgin gülümser
çünkü ayrılmanın da vahşi bir tadı var
                çün....................",9
Aşk,Özdemir Asaf,"Sen kocaman çöllerde bir kalabalık gibisin,
Kocaman denizlerde ender bir balık gibisin.
Bir ısıtır, bir üşütür, bir ağlatır bir güldürür; 
Sen hem bir hastalık hem de sağlık gibisin.",10
